store|cash_machine|business_date|item|quantity|unit_prince|line_amount|tran_seq_no|line_seq_no
1001|1|15/01/2022 11:30:15|174|1|3.50|3.50|430|164
1001|1|15/01/2022 12:28:37|71|1|33.50|33.50|431|165
1001|1|15/01/2022 12:28:37|50|3|11.69|35.06|432|165
1001|1|15/01/2022 13:32:53|50|4|12.78|51.12|433|166
1001|1|17/01/2022 09:09:16|50|3|11.69|35.06|434|172
1001|1|17/01/2022 09:18:54|310|1|-7.25|-7.25|435|173
1001|1|17/01/2022 09:18:54|24|1|10.00|10.00|436|173
1001|1|17/01/2022 09:18:54|113|1|34.50|34.50|437|173
1001|1|17/01/2022 09:18:54|170|1|1.50|1.50|438|173
1001|1|17/01/2022 10:18:40|173|1|3.00|3.00|439|174
1001|1|17/01/2022 10:18:40|30|1|15.00|15.00|440|174
1001|1|17/01/2022 10:18:40|310|1|-4.46|-4.46|441|174
1001|1|17/01/2022 10:18:40|21|1|10.00|10.00|442|174
1001|1|17/01/2022 11:57:16|80|1|45.00|45.00|443|175
1001|1|17/01/2022 15:36:50|173|1|3.00|3.00|444|176
1001|1|17/01/2022 15:36:50|53|3|11.69|35.06|445|176
1001|1|17/01/2022 15:36:50|50|3|11.69|35.06|446|176
1001|1|18/01/2022 10:45:08|33|1|15.00|15.00|447|181
1001|1|18/01/2022 10:45:08|170|1|1.50|1.50|448|181
1001|1|18/01/2022 10:45:08|21|1|10.00|10.00|449|181
1001|1|18/01/2022 10:45:08|310|1|-4.46|-4.46|450|181
1001|1|18/01/2022 14:07:59|100|1|0.00|0.00|451|182
1001|1|18/01/2022 14:07:59|130|6|14.96|89.79|452|182
1001|1|18/01/2022 14:07:59|50|10|19.34|193.36|453|182
1001|1|18/01/2022 14:07:59|173|1|3.00|3.00|454|182
1001|1|18/01/2022 16:06:10|170|1|1.50|1.50|455|183
1001|1|18/01/2022 16:06:10|110|1|34.50|34.50|456|183
1001|1|18/01/2022 16:06:10|120|1|12.00|12.00|457|183
1001|1|18/01/2022 16:06:10|310|1|-8.36|-8.36|458|183
1001|1|18/01/2022 16:56:46|160|1|10.00|10.00|459|184
1001|1|19/01/2022 10:05:09|160|1|10.00|10.00|460|189
1001|1|19/01/2022 10:05:09|100|1|0.00|0.00|461|189
1001|1|19/01/2022 15:12:40|30|1|15.00|15.00|462|190
